iter	Logloss
0	0.6490775403
1	0.6129309582
2	0.5836768553
3	0.5189188121
4	0.5000001789
5	0.474313387
6	0.4371341837
7	0.4249564328
8	0.4122071836
9	0.3926456366
10	0.3875149062
11	0.3817407793
12	0.3765508314
13	0.3733604706
14	0.3627002089
15	0.3600316828
16	0.3566633474
17	0.3537075484
18	0.3516865352
19	0.3493054691
20	0.3471003
21	0.3450357296
22	0.3437444299
23	0.3375295819
24	0.3363656213
25	0.3348414654
26	0.3333664871
27	0.3316431645
28	0.3303748751
29	0.3285434111
30	0.3279062464
31	0.3267038877
32	0.3258315597
33	0.3218983576
34	0.3208251686
35	0.3200521565
36	0.3193210279
37	0.3186496662
38	0.3180377861
39	0.3172934719
40	0.3166509146
41	0.316198588
42	0.3151910154
43	0.3141342163
44	0.313238279
45	0.3124392317
46	0.3119181295
47	0.3109435331
48	0.3104294617
49	0.3094202737
50	0.3089014858
51	0.3078665917
52	0.3071900683
53	0.3068282006
54	0.3064663558
55	0.3057427675
56	0.3052235555
57	0.3045336555
58	0.3032377671
59	0.3024522198
60	0.3020589539
61	0.3015603286
62	0.3013217924
63	0.3012028078
64	0.3009048524
65	0.3005362514
66	0.2999051544
67	0.299274495
68	0.2986148301
69	0.2980314573
70	0.2976697919
71	0.2968847418
72	0.2965153421
73	0.2961705558
74	0.2956365844
75	0.2948305218
76	0.2941469154
77	0.2936797698
78	0.293048423
79	0.2926247402
80	0.292015006
81	0.2913908648
82	0.290967331
83	0.2905930979
84	0.2900432958
85	0.2894557026
86	0.2887541196
87	0.2881102781
88	0.2875554866
89	0.2870358146
90	0.2865662008
91	0.2864127518
92	0.2858489797
93	0.2854456548
94	0.2848964226
95	0.2846098522
96	0.2842822288
97	0.2841028379
98	0.2833655741
99	0.2831456108
100	0.2828565428
101	0.2822676709
102	0.2817492415
103	0.2815128772
104	0.2810890347
105	0.2802863049
106	0.2798419955
107	0.27907105
108	0.2786156797
109	0.2781823959
110	0.2779070321
111	0.2774221182
112	0.2768451916
113	0.2763151853
114	0.2761288975
115	0.2756734781
116	0.2752446017
117	0.2749676635
118	0.274753431
119	0.2743475051
120	0.2741016518
121	0.2738506204
122	0.2736838895
123	0.2733189675
124	0.2729243207
125	0.2726396415
126	0.2719925032
127	0.2715024582
128	0.2711422932
129	0.2707637802
130	0.2703887414
131	0.2699880086
132	0.2697786268
133	0.269249354
134	0.2688666847
135	0.2683934054
136	0.2681154781
137	0.2677997795
138	0.2671845807
139	0.2668429172
140	0.2664843276
141	0.2661301003
142	0.2655626231
143	0.2652978931
144	0.2648101549
145	0.2646001465
146	0.264157262
147	0.2639521718
148	0.2635699316
149	0.2633269895
150	0.2631014375
151	0.2628902201
152	0.2626309661
153	0.2622952001
154	0.2619363856
155	0.2616947112
156	0.2613272784
157	0.2611325311
158	0.2608252525
159	0.2603806193
160	0.2602095471
161	0.2598434117
162	0.2594128991
163	0.2590827969
164	0.258879214
165	0.2585575549
166	0.2582857752
167	0.2580184255
168	0.2577668113
169	0.257493375
170	0.2573154445
171	0.2569350966
172	0.2565455942
173	0.2561757721
174	0.2556872797
175	0.2554101851
176	0.2551366309
177	0.2550330443
178	0.2548375364
179	0.2545358309
180	0.2541570651
181	0.2538344914
182	0.2535026819
183	0.2532090217
184	0.2529367123
185	0.2528104473
186	0.2525980319
187	0.2523796656
188	0.2522162997
189	0.2519635962
190	0.2517458356
191	0.2514008978
192	0.2510989873
193	0.2508418156
194	0.2505345896
195	0.2503639337
196	0.2502345706
197	0.2499809657
198	0.2498207908
199	0.2495700159
200	0.2492993116
201	0.248955117
202	0.2486278753
203	0.2485007871
204	0.2482353663
205	0.2480214471
206	0.2475884233
207	0.2471897164
208	0.2470402583
209	0.2468919863
210	0.2466424159
211	0.2463747395
212	0.2461990575
213	0.2459741141
214	0.2456439581
215	0.2454724278
216	0.2452232445
217	0.245078278
218	0.2447870586
219	0.2445255657
220	0.2441794038
221	0.2440595858
222	0.2439854871
223	0.2436430848
224	0.2434336593
225	0.2431965087
226	0.2429457896
227	0.2427981282
228	0.2425698142
229	0.2422660867
230	0.2420405887
231	0.2417400304
232	0.2415635766
