iter	Logloss
233	0.2413510832
234	0.2410684696
235	0.2409454214
236	0.2407940155
237	0.2406548212
238	0.2404773385
239	0.2402283868
240	0.2401053832
241	0.2397623134
242	0.2395406794
243	0.239322577
244	0.239128626
245	0.2389603035
246	0.2387499199
247	0.2385209427
248	0.2382793397
249	0.2381146091
250	0.2379059171
251	0.2376562793
252	0.2374451346
253	0.2371310518
254	0.237008342
255	0.2369174889
256	0.2367491595
257	0.2362293864
258	0.2360024761
259	0.2358898583
260	0.2355841671
261	0.2353888951
262	0.2352753049
263	0.2351271257
264	0.2349814376
265	0.2342799935
266	0.2340890645
267	0.2338088551
268	0.2335025152
269	0.2332188667
270	0.2331254115
271	0.2329575846
272	0.2328751717
273	0.2327816594
274	0.2325912082
275	0.2323614623
276	0.2322900437
277	0.2321459724
278	0.2319370262
279	0.2317797395
280	0.2315588065
281	0.2313472086
282	0.231184518
283	0.2309127266
284	0.230838108
285	0.2307028524
286	0.2304323682
287	0.230342734
288	0.2300907615
289	0.2300209305
290	0.2297824719
291	0.2295722028
292	0.2294359715
293	0.229232578
294	0.2291299625
295	0.2288783566
296	0.2286763972
297	0.2285095914
298	0.2282544088
299	0.2281596965
300	0.2278978861
301	0.2277077042
302	0.2274439335
303	0.2274064856
304	0.2272920136
305	0.2271205758
306	0.2269282489
307	0.2266688356
308	0.2264437848
309	0.2263360744
310	0.2262394835
311	0.2261599784
312	0.2258659049
313	0.2257604523
314	0.2255188266
315	0.2252487569
316	0.225098965
317	0.2249323441
318	0.224711812
319	0.2245693601
320	0.2243334063
321	0.2242011482
322	0.2241406632
323	0.2240309955
324	0.2238771204
325	0.2236769777
326	0.2234117242
327	0.2233683468
328	0.2232693823
329	0.2231154359
330	0.2227918886
331	0.2223640511
332	0.2222411072
333	0.2221099556
334	0.2220022842
335	0.2218697921
336	0.2216223138
337	0.2214654912
338	0.2213503571
339	0.2211058541
340	0.2208607745
341	0.2206529771
342	0.2205431022
343	0.2203485283
344	0.2201351701
345	0.2200590224
346	0.2199080548
347	0.2198283136
348	0.2196755987
349	0.2194412349
350	0.2192702684
351	0.219217293
352	0.2190907982
353	0.2188597562
354	0.2186838114
355	0.2185134366
356	0.2184175774
357	0.2181552274
358	0.2180580968
359	0.217826897
360	0.2175299882
361	0.2173287588
362	0.2172175534
363	0.2170345322
364	0.2169781721
365	0.2168065142
366	0.2167055671
367	0.2165630965
368	0.2164246159
369	0.2161763929
370	0.2159287914
371	0.2158133455
372	0.2155507035
373	0.2154122287
374	0.2153394287
375	0.2152340877
376	0.2149775595
377	0.2148604671
378	0.2146784636
379	0.2145654908
380	0.2145319203
381	0.2141978471
382	0.2140507703
383	0.2139275898
384	0.2135722249
385	0.2134076712
386	0.2132293629
387	0.2130909029
388	0.2129748851
389	0.2128261127
390	0.2127129616
391	0.2125646869
392	0.2124082625
393	0.212292051
394	0.212244218
395	0.2120926289
396	0.2120089698
397	0.2118069985
398	0.2116570133
399	0.2115290873
400	0.2114128789
401	0.211245818
402	0.2110745212
403	0.2108913505
404	0.2107872391
405	0.2106680915
406	0.2106152317
407	0.2104441509
408	0.2102935629
409	0.210109766
410	0.2100318056
411	0.209909947
412	0.209850079
413	0.2096708264
414	0.209464219
415	0.2093129087
416	0.2091034487
417	0.2089971302
418	0.2088389937
419	0.2088042561
420	0.2086282163
421	0.2084198161
422	0.2083603876
423	0.208130241
424	0.2080270848
425	0.2077623696
426	0.2076398815
427	0.2074612683
428	0.2073744322
429	0.2072620726
430	0.2071761174
431	0.2069121543
432	0.206816185
433	0.2067076317
434	0.2066254897
435	0.2065714259
436	0.2065283603
437	0.2063577258
438	0.2061642333
439	0.2060727941
440	0.2060003854
441	0.2059514881
442	0.2058766044
443	0.2055582841
444	0.20547759
445	0.2053358867
446	0.2052142167
447	0.2050603087
448	0.2049384406
449	0.2047547486
450	0.2046374621
451	0.2044180184
452	0.20433507
453	0.2042171168
454	0.2041445543
455	0.2040569131
456	0.2039629854
457	0.2037706616
458	0.2037092993
459	0.2035853845
460	0.2034412298
461	0.2033204917
462	0.2032295641
463	0.2031705594
464	0.2031023218
465	0.2030031139
466	0.2028142591
467	0.2026929637
468	0.2025362326
469	0.2023829418
470	0.2022479214
471	0.2022012718
472	0.202057362
473	0.2019574597
474	0.2017337648
475	0.2016551346
476	0.2015130434
477	0.2013649815
478	0.2013091639
479	0.201209286
480	0.2011057892
481	0.200976979
482	0.2008567726
483	0.2007453297
484	0.2006738458
485	0.2006387027
486	0.2005523002
487	0.2005265949
488	0.20050131
489	0.2003730281
490	0.2003014659
491	0.2002282048
492	0.2001517992
493	0.2000864886
494	0.1999439958
495	0.1998783233
496	0.1996864636
497	0.1995408467
498	0.1994235491
499	0.1993284525
